img, version, proc, rep, iter, time
0, 0, 2, 0, 800,  0.021926
0, 0, 2, 1, 800,  0.021758
0, 0, 2, 2, 800,  0.021766
0, 0, 2, 3, 800,  0.031701
0, 0, 2, 4, 800,  0.036903
0, 0, 2, 5, 800,  0.040471
0, 0, 4, 0, 800,  0.028912
0, 0, 4, 1, 800,  0.029788
0, 0, 4, 2, 800,  0.028781
0, 0, 4, 3, 800,  0.030228
0, 0, 4, 4, 800,  0.028919
0, 0, 4, 5, 800,  0.029790
0, 0, 8, 0, 800,  0.019543
0, 0, 8, 1, 800,  0.020182
0, 0, 8, 2, 800,  0.019850
0, 0, 8, 3, 800,  0.018993
0, 0, 8, 4, 800,  0.020108
0, 0, 8, 5, 800,  0.019578
0, 0, 12, 0, 800,  0.017894
0, 0, 12, 1, 800,  0.018094
0, 0, 12, 2, 800,  0.018450
0, 0, 12, 3, 800,  0.018272
0, 0, 12, 4, 800,  0.018347
0, 0, 12, 5, 800,  0.017849
0, 0, 19, 0, 800,  0.013330
0, 0, 19, 1, 800,  0.013423
0, 0, 19, 2, 800,  0.012831
0, 0, 19, 3, 800,  0.013386
0, 0, 19, 4, 800,  0.013545
0, 0, 19, 5, 800,  0.013236
0, 1, 2, 0, 800,  0.037259
0, 1, 2, 1, 800,  0.037306
0, 1, 2, 2, 800,  0.057854
0, 1, 2, 3, 800,  0.037110
0, 1, 2, 4, 800,  0.057164
0, 1, 2, 5, 800,  0.057352
0, 1, 4, 0, 800,  0.038705
0, 1, 4, 1, 800,  0.040358
0, 1, 4, 2, 800,  0.041028
0, 1, 4, 3, 800,  0.042459
0, 1, 4, 4, 800,  0.042188
0, 1, 4, 5, 800,  0.042105
0, 1, 8, 0, 800,  0.027338
0, 1, 8, 1, 800,  0.026509
0, 1, 8, 2, 800,  0.026452
0, 1, 8, 3, 800,  0.027867
0, 1, 8, 4, 800,  0.027635
0, 1, 8, 5, 800,  0.026979
0, 1, 12, 0, 800,  0.023710
0, 1, 12, 1, 800,  0.023758
0, 1, 12, 2, 800,  0.023832
0, 1, 12, 3, 800,  0.024402
0, 1, 12, 4, 800,  0.024284
0, 1, 12, 5, 800,  0.023774
0, 1, 19, 0, 800,  0.018734
0, 1, 19, 1, 800,  0.025122
0, 1, 19, 2, 800,  0.019892
0, 1, 19, 3, 800,  0.019189
0, 1, 19, 4, 800,  0.018934
0, 1, 19, 5, 800,  0.021108
1, 0, 2, 0, 800,  0.036325
1, 0, 2, 1, 800,  0.036355
1, 0, 2, 2, 800,  0.036819
1, 0, 2, 3, 800,  0.058993
1, 0, 2, 4, 800,  0.058854
1, 0, 2, 5, 800,  0.050420
1, 0, 4, 0, 800,  0.042478
1, 0, 4, 1, 800,  0.043075
1, 0, 4, 2, 800,  0.043600
1, 0, 4, 3, 800,  0.042963
1, 0, 4, 4, 800,  0.042782
1, 0, 4, 5, 800,  0.044694
1, 0, 8, 0, 800,  0.028738
1, 0, 8, 1, 800,  0.028040
1, 0, 8, 2, 800,  0.026768
1, 0, 8, 3, 800,  0.028573
1, 0, 8, 4, 800,  0.027333
1, 0, 8, 5, 800,  0.028716
1, 0, 12, 0, 800,  0.023865
1, 0, 12, 1, 800,  0.023140
1, 0, 12, 2, 800,  0.023674
1, 0, 12, 3, 800,  0.023714
1, 0, 12, 4, 800,  0.023798
1, 0, 12, 5, 800,  0.023340
1, 0, 19, 0, 800,  0.018316
1, 0, 19, 1, 800,  0.017879
1, 0, 19, 2, 800,  0.017813
1, 0, 19, 3, 800,  0.018596
1, 0, 19, 4, 800,  0.017697
1, 0, 19, 5, 800,  0.018455
1, 1, 2, 0, 800,  0.090585
1, 1, 2, 1, 800,  0.085537
1, 1, 2, 2, 800,  0.079442
1, 1, 2, 3, 800,  0.062648
1, 1, 2, 4, 800,  0.062768
1, 1, 2, 5, 800,  0.068535
1, 1, 4, 0, 800,  0.061491
1, 1, 4, 1, 800,  0.061819
1, 1, 4, 2, 800,  0.061450
1, 1, 4, 3, 800,  0.060470
1, 1, 4, 4, 800,  0.062169
1, 1, 4, 5, 800,  0.062592
1, 1, 8, 0, 800,  0.039326
1, 1, 8, 1, 800,  0.038776
1, 1, 8, 2, 800,  0.038878
1, 1, 8, 3, 800,  0.038775
1, 1, 8, 4, 800,  0.039441
1, 1, 8, 5, 800,  0.038940
1, 1, 12, 0, 800,  0.031858
1, 1, 12, 1, 800,  0.031731
1, 1, 12, 2, 800,  0.032696
1, 1, 12, 3, 800,  0.033114
1, 1, 12, 4, 800,  0.032563
1, 1, 12, 5, 800,  0.032598
1, 1, 19, 0, 800,  0.028893
1, 1, 19, 1, 800,  0.028780
1, 1, 19, 2, 800,  0.029161
1, 1, 19, 3, 800,  0.028055
1, 1, 19, 4, 800,  0.028620
1, 1, 19, 5, 800,  0.027663
2, 0, 2, 0, 800,  0.141116
2, 0, 2, 1, 800,  0.126915
2, 0, 2, 2, 800,  0.136697
2, 0, 2, 3, 800,  0.150489
2, 0, 2, 4, 800,  0.126642
2, 0, 2, 5, 800,  0.150010
2, 0, 4, 0, 800,  0.096377
2, 0, 4, 1, 800,  0.098045
2, 0, 4, 2, 800,  0.089030
2, 0, 4, 3, 800,  0.092684
2, 0, 4, 4, 800,  0.092181
2, 0, 4, 5, 800,  0.097705
2, 0, 8, 0, 800,  0.060033
2, 0, 8, 1, 800,  0.057369
2, 0, 8, 2, 800,  0.058019
2, 0, 8, 3, 800,  0.059191
2, 0, 8, 4, 800,  0.059786
2, 0, 8, 5, 800,  0.059046
2, 0, 12, 0, 800,  0.049845
2, 0, 12, 1, 800,  0.047788
2, 0, 12, 2, 800,  0.047775
2, 0, 12, 3, 800,  0.049422
2, 0, 12, 4, 800,  0.052154
2, 0, 12, 5, 800,  0.047799
2, 0, 19, 0, 800,  0.040784
2, 0, 19, 1, 800,  0.039719
2, 0, 19, 2, 800,  0.041074
2, 0, 19, 3, 800,  0.040616
2, 0, 19, 4, 800,  0.036993
2, 0, 19, 5, 800,  0.040744
2, 1, 2, 0, 800,  0.227630
2, 1, 2, 1, 800,  0.221018
2, 1, 2, 2, 800,  0.249140
2, 1, 2, 3, 800,  0.246663
2, 1, 2, 4, 800,  0.220663
2, 1, 2, 5, 800,  0.221488
2, 1, 4, 0, 800,  0.142912
2, 1, 4, 1, 800,  0.142341
2, 1, 4, 2, 800,  0.139570
2, 1, 4, 3, 800,  0.141952
2, 1, 4, 4, 800,  0.145886
2, 1, 4, 5, 800,  0.145996
2, 1, 8, 0, 800,  0.088288
2, 1, 8, 1, 800,  0.086412
2, 1, 8, 2, 800,  0.082635
2, 1, 8, 3, 800,  0.088571
2, 1, 8, 4, 800,  0.087435
2, 1, 8, 5, 800,  0.089882
2, 1, 12, 0, 800,  0.067800
2, 1, 12, 1, 800,  0.070949
2, 1, 12, 2, 800,  0.065286
2, 1, 12, 3, 800,  0.071280
2, 1, 12, 4, 800,  0.071909
2, 1, 12, 5, 800,  0.072276
2, 1, 19, 0, 800,  0.057471
2, 1, 19, 1, 800,  0.064748
2, 1, 19, 2, 800,  0.063708
2, 1, 19, 3, 800,  0.063567
2, 1, 19, 4, 800,  0.060811
2, 1, 19, 5, 800,  0.062059
3, 0, 2, 0, 800,  0.320285
3, 0, 2, 1, 800,  0.319132
3, 0, 2, 2, 800,  0.319177
3, 0, 2, 3, 800,  0.319472
3, 0, 2, 4, 800,  0.319984
3, 0, 2, 5, 800,  0.323066
3, 0, 4, 0, 800,  0.195371
3, 0, 4, 1, 800,  0.198134
3, 0, 4, 2, 800,  0.197563
3, 0, 4, 3, 800,  0.200734
3, 0, 4, 4, 800,  0.195938
3, 0, 4, 5, 800,  0.199385
3, 0, 8, 0, 800,  0.104574
3, 0, 8, 1, 800,  0.097355
3, 0, 8, 2, 800,  0.093843
3, 0, 8, 3, 800,  0.100021
3, 0, 8, 4, 800,  0.103728
3, 0, 8, 5, 800,  0.100819
3, 0, 12, 0, 800,  0.072471
3, 0, 12, 1, 800,  0.077258
3, 0, 12, 2, 800,  0.076173
3, 0, 12, 3, 800,  0.078085
3, 0, 12, 4, 800,  0.078156
3, 0, 12, 5, 800,  0.078845
3, 0, 19, 0, 800,  0.053323
3, 0, 19, 1, 800,  0.052009
3, 0, 19, 2, 800,  0.048843
3, 0, 19, 3, 800,  0.050070
3, 0, 19, 4, 800,  0.052054
3, 0, 19, 5, 800,  0.054046
3, 1, 2, 0, 800,  0.595517
3, 1, 2, 1, 800,  0.595677
3, 1, 2, 2, 800,  0.595692
3, 1, 2, 3, 800,  0.595302
3, 1, 2, 4, 800,  0.595410
3, 1, 2, 5, 800,  0.595087
3, 1, 4, 0, 800,  0.339639
3, 1, 4, 1, 800,  0.337615
3, 1, 4, 2, 800,  0.337839
3, 1, 4, 3, 800,  0.335240
3, 1, 4, 4, 800,  0.334840
3, 1, 4, 5, 800,  0.340659
3, 1, 8, 0, 800,  0.172233
3, 1, 8, 1, 800,  0.169325
3, 1, 8, 2, 800,  0.170092
3, 1, 8, 3, 800,  0.172224
3, 1, 8, 4, 800,  0.171005
3, 1, 8, 5, 800,  0.171473
3, 1, 12, 0, 800,  0.119520
3, 1, 12, 1, 800,  0.125314
3, 1, 12, 2, 800,  0.124016
3, 1, 12, 3, 800,  0.123589
3, 1, 12, 4, 800,  0.122889
3, 1, 12, 5, 800,  0.121863
3, 1, 19, 0, 800,  0.092609
3, 1, 19, 1, 800,  0.088839
3, 1, 19, 2, 800,  0.089236
3, 1, 19, 3, 800,  0.094749
3, 1, 19, 4, 800,  0.088153
3, 1, 19, 5, 800,  0.091899
